date,model,pred_close,actual_close,pred_direction,actual_direction,correct,abs_error
2026-04-10,random_forest,105.49104173419978,106.77081765,-1,1,0,1.279775915800215
2026-04-10,lstm_univariate,105.46989283567346,106.77081765,1,1,1,1.3009248143265353
2026-04-10,lstm_multivariate,104.93335682179442,106.77081765,-1,1,0,1.8374608282055789
2026-04-13,random_walk,106.77081765,110.7164134,-1,1,0,3.9455957499999954
2026-04-13,moving_average,103.42854844000001,110.7164134,-1,1,0,7.287864959999979
2026-04-13,arima,106.49505732283792,110.7164134,-1,1,0,4.221356077162071
2026-04-13,random_forest,106.66734128765208,110.7164134,-1,1,0,4.049072112347915
2026-04-13,lstm_univariate,106.86606330226824,110.7164134,1,1,1,3.8503500977317486
2026-04-13,lstm_multivariate,106.28409443989537,110.7164134,-1,1,0,4.432318960104624
2026-04-14,random_walk,110.7164134,106.67092915,-1,-1,1,4.045484249999987
2026-04-14,moving_average,106.41521459,106.67092915,-1,-1,1,0.25571456000000126
2026-04-14,arima,111.05075866720452,106.67092915,1,-1,0,4.379829517204513
2026-04-14,random_forest,111.04813043955149,106.67092915,1,-1,0,4.377201289551479
2026-04-14,lstm_univariate,110.80917428999916,106.67092915,1,-1,0,4.138245139999157
2026-04-14,lstm_multivariate,110.1249592444167,106.67092915,-1,-1,1,3.4540300944166944
2026-04-15,random_walk,106.67092915,113.0138489,-1,1,0,6.342919749999993
2026-04-15,moving_average,106.43319452,113.0138489,-1,1,0,6.580654379999999
2026-04-15,arima,106.28445723892429,113.0138489,-1,1,0,6.729391661075709
2026-04-15,random_forest,106.63700951641633,113.0138489,-1,1,0,6.376839383583672
2026-04-15,lstm_univariate,106.75966778363605,113.0138489,1,1,1,6.254181116363952
2026-04-15,lstm_multivariate,106.14117419643061,113.0138489,-1,1,0,6.872674703569388
2026-04-16,random_walk,113.0138489,112.8939827,-1,-1,1,0.11986620000000414
2026-04-16,moving_average,108.50887755,112.8939827,-1,-1,1,4.385105150000001
2026-04-16,arima,113.48166255021941,112.8939827,1,-1,0,0.5876798502194163
2026-04-16,random_forest,113.45768717110153,112.8939827,-1,-1,1,0.5637044711015307
2026-04-16,lstm_univariate,113.10184016666066,112.8939827,1,-1,0,0.20785746666066984
2026-04-16,lstm_multivariate,112.32570816833802,112.8939827,-1,-1,1,0.5682745316619702
2026-04-17,random_walk,112.8939827,112.1348301,-1,-1,1,0.7591525999999931
2026-04-17,moving_average,110.01319836,112.1348301,-1,-1,1,2.121631739999998
2026-04-17,arima,112.44921932858246,112.1348301,-1,-1,1,0.3143892285824563
2026-04-17,random_forest,113.26114459601915,112.1348301,-1,-1,1,1.1263144960191482
2026-04-17,lstm_univariate,112.9893675507079,112.1348301,1,-1,0,0.8545374507078947
2026-04-17,lstm_multivariate,112.35298766320105,112.1348301,-1,-1,1,0.2181575632010464
2026-04-20,random_walk,112.1348301,109.477796,-1,-1,1,2.657034100000004
2026-04-20,moving_average,111.08600085,109.477796,-1,-1,1,1.608204850000007
2026-04-20,arima,112.54372935358641,109.477796,1,-1,0,3.0659333535864164
2026-04-20,random_forest,112.57952630717911,109.477796,-1,-1,1,3.1017303071791105
2026-04-20,lstm_univariate,112.22748720314418,109.477796,1,-1,0,2.749691203144181
2026-04-20,lstm_multivariate,111.68755594122484,109.477796,-1,-1,1,2.2097599412248456
2026-04-21,random_walk,109.477796,110.1370601,-1,1,0,0.6592641000000015
2026-04-21,moving_average,110.83827736999999,110.1370601,1,1,1,0.7012172699999866
2026-04-21,arima,109.04602639507189,110.1370601,-1,1,0,1.0910337049281082
2026-04-21,random_forest,109.69360124760836,110.1370601,-1,1,0,0.4434588523916432
2026-04-21,lstm_univariate,109.56918153925858,110.1370601,1,1,1,0.5678785607414198
2026-04-21,lstm_multivariate,109.12613402232685,110.1370601,-1,1,0,1.0109260776731475
2026-04-22,random_walk,110.1370601,108.2591563,-1,-1,1,1.8779037999999986
2026-04-22,moving_average,111.53150356,108.2591563,1,-1,0,3.2723472600000036
2026-04-22,arima,110.55882274744755,108.2591563,1,-1,0,2.2996664474475494
2026-04-22,random_forest,110.12874508912066,108.2591563,-1,-1,1,1.8695887891206553
2026-04-22,lstm_univariate,110.22913407451175,108.2591563,1,-1,0,1.9699777745117473
2026-04-22,lstm_multivariate,109.82676889688635,108.2591563,-1,-1,1,1.5676125968863488
2026-04-23,random_walk,108.2591563,111.8351646,-1,1,0,3.576008299999998
2026-04-23,moving_average,110.58056503999998,111.8351646,1,1,1,1.2545995600000168
2026-04-23,arima,107.82672752675957,111.8351646,-1,1,0,4.0084370732404295
2026-04-23,random_forest,108.28582172838864,111.8351646,-1,1,0,3.5493428716113584
2026-04-23,lstm_univariate,108.35141658573949,111.8351646,1,1,1,3.483748014260513
2026-04-23,lstm_multivariate,107.97044387514295,111.8351646,-1,1,0,3.864720724857051
2026-04-24,random_walk,111.8351646,119.0271366,-1,1,0,7.191972000000007
2026-04-24,moving_average,110.36880142,119.0271366,-1,1,0,8.658335180000009
2026-04-24,arima,112.30583280908465,119.0271366,1,1,1,6.721303790915357
2026-04-24,random_forest,111.70925911367806,119.0271366,-1,1,0,7.317877486321947
2026-04-24,lstm_univariate,111.92860003723229,119.0271366,1,1,1,7.09853656276772
2026-04-24,lstm_multivariate,111.35755047164834,119.0271366,-1,1,0,7.669586128351668
2026-04-27,random_walk,119.0271366,114.54214295,-1,-1,1,4.484993650000007
2026-04-27,moving_average,111.74726271999998,114.54214295,-1,-1,1,2.794880230000018
2026-04-27,arima,118.70190910856905,114.54214295,-1,-1,1,4.159766158569056
2026-04-27,random_forest,119.33543113660909,114.54214295,-1,-1,1,4.7932881866090895
2026-04-27,lstm_univariate,119.11852842758648,114.54214295,1,-1,0,4.576385477586484
2026-04-27,lstm_multivariate,118.31677686732081,114.54214295,-1,-1,1,3.7746339173208128
2026-04-28,random_walk,114.54214295,113.473336,-1,-1,1,1.0688069499999955
2026-04-28,moving_average,112.76013211,113.473336,-1,-1,1,0.7132038900000026
2026-04-28,arima,114.763997050629,113.473336,1,-1,0,1.290661050628998
2026-04-28,random_forest,114.41973251501112,113.473336,-1,-1,1,0.9463965150111164
2026-04-28,lstm_univariate,114.62871982528051,113.473336,1,-1,0,1.1553838252805093
2026-04-28,lstm_multivariate,113.83294586988194,113.473336,-1,-1,1,0.3596098698819361
2026-04-29,random_walk,113.473336,117.0493443,-1,1,0,3.576008299999998
2026-04-29,moving_average,113.42738729,117.0493443,-1,1,0,3.6219570100000027
2026-04-29,arima,113.24047317424824,117.0493443,-1,1,0,3.8088711257517645
2026-04-29,random_forest,113.49740532290201,117.0493443,-1,1,0,3.55193897709799
2026-04-29,lstm_univariate,113.55904935179674,117.0493443,1,1,1,3.490294948203257
2026-04-29,lstm_multivariate,112.88661565925176,117.0493443,-1,1,0,4.162728640748242
2026-04-30,random_walk,117.0493443,125.459956,-1,1,0,8.410611700000004
2026-04-30,moving_average,115.18542489000001,125.459956,-1,1,0,10.274531109999998
2026-04-30,arima,117.34336359267171,125.459956,1,1,1,8.116592407328298
2026-04-30,random_forest,116.91325591546007,125.459956,-1,1,0,8.546700084539935
2026-04-30,lstm_univariate,117.13456914174003,125.459956,1,1,1,8.325386858259975
2026-04-30,lstm_multivariate,116.3415922994116,125.459956,-1,1,0,9.118363700588404
2026-05-06,random_walk,125.459956,124.49103755,-1,-1,1,0.9689184500000039
2026-05-06,moving_average,117.91038317,124.49103755,-1,-1,1,6.580654379999999
2026-05-06,arima,125.35148598153773,124.49103755,-1,-1,1,0.8604484315377334
2026-05-06,random_forest,125.44649311717339,124.49103755,-1,-1,1,0.955455567173388
2026-05-06,lstm_univariate,125.55044830590015,124.49103755,1,-1,0,1.0594107559001458
2026-05-06,lstm_multivariate,124.71223759994615,124.49103755,-1,-1,1,0.22120004994614817
2026-05-07,random_walk,124.49103755,123.3822752,-1,-1,1,1.1087623500000063
2026-05-07,moving_average,119.00316336,123.3822752,-1,-1,1,4.379111839999993
2026-05-07,arima,124.57377268839481,123.3822752,1,-1,0,1.1914974883948162
2026-05-07,random_forest,124.7665164104724,123.3822752,-1,-1,1,1.3842412104724104
2026-05-07,lstm_univariate,124.5747749023116,123.3822752,1,-1,0,1.1924997023116077
2026-05-07,lstm_multivariate,123.86079236741706,123.3822752,-1,-1,1,0.47851716741706696
2026-05-08,random_walk,123.3822752,129.0159866,-1,1,0,5.633711399999996
2026-05-08,moving_average,120.77118980999998,129.0159866,-1,1,0,8.24479679000001
2026-05-08,arima,123.2799501147237,129.0159866,-1,1,0,5.736036485276287
2026-05-08,random_forest,123.39561883631409,129.0159866,-1,1,0,5.6203677636859055
2026-05-08,lstm_univariate,123.46218067714331,129.0159866,1,1,1,5.553805922856682
2026-05-08,lstm_multivariate,122.54220951417882,129.0159866,-1,1,0,6.473777085821169
2026-05-11,random_walk,129.0159866,128.44662215,-1,-1,1,0.5693644499999948
2026-05-11,moving_average,123.87971993,128.44662215,-1,-1,1,4.566902220000003
2026-05-11,arima,129.2323536820916,128.44662215,1,-1,0,0.785731532091603
2026-05-11,random_forest,129.1094632022412,128.44662215,-1,-1,1,0.6628410522411912
2026-05-11,lstm_univariate,129.09193162444288,128.44662215,1,-1,0,0.6453094744428824
2026-05-11,lstm_multivariate,128.06139363307452,128.44662215,-1,-1,1,0.3852285169254799
2026-05-12,random_walk,128.44662215,129.06593085,-1,1,0,0.6193087000000048
2026-05-12,moving_average,126.15917549999999,129.06593085,-1,1,0,2.9067553500000116
2026-05-12,arima,128.2286895724982,129.06593085,-1,1,0,0.8372412775017892
2026-05-12,random_forest,128.54890206538417,129.06593085,-1,1,0,0.5170287846158317
2026-05-12,lstm_univariate,128.51778702275638,129.06593085,1,1,1,0.5481438272436208
2026-05-12,lstm_multivariate,127.52799662837035,129.06593085,-1,1,0,1.537934221629655
2026-05-13,random_walk,129.06593085,121.35453865,-1,-1,1,7.711392200000006
2026-05-13,moving_average,126.88037047,121.35453865,-1,-1,1,5.525831820000008
2026-05-13,arima,129.28626667713303,121.35453865,1,-1,0,7.931728027133033
2026-05-13,random_forest,129.33126613443386,121.35453865,-1,-1,1,7.976727484433866
2026-05-13,lstm_univariate,129.13385105628083,121.35453865,1,-1,0,7.779312406280837
2026-05-13,lstm_multivariate,128.22312117065664,121.35453865,-1,-1,1,6.868582520656645
2026-05-14,random_walk,121.35453865,119.8861777,-1,-1,1,1.4683609499999903
2026-05-14,moving_average,126.25307069,119.8861777,1,-1,0,6.366892989999997
2026-05-14,arima,120.98695906452747,119.8861777,-1,-1,1,1.1007813645274638
2026-05-14,random_forest,121.36321623325485,119.8861777,-1,-1,1,1.4770385332548415
2026-05-14,lstm_univariate,121.42319415780123,119.8861777,1,-1,0,1.5370164578012293
2026-05-14,lstm_multivariate,120.63121270516973,119.8861777,-1,-1,1,0.7450350051697257
2026-05-15,random_walk,119.8861777,119.1669805,-1,-1,1,0.7191972000000106
2026-05-15,moving_average,125.55385118999997,119.1669805,1,-1,0,6.386870689999981
2026-05-15,arima,120.20676328592343,119.1669805,1,-1,0,1.0397827859234354
2026-05-15,random_forest,119.89447549033595,119.1669805,-1,-1,1,0.7274949903359555
2026-05-15,lstm_univariate,119.95860217752072,119.1669805,1,-1,0,0.7916216775207232
2026-05-15,lstm_multivariate,119.25559116960842,119.1669805,-1,-1,1,0.08861066960842834
2026-05-18,random_walk,119.1669805,124.07150585,-1,1,0,4.90452535
2026-05-18,moving_average,123.58404997,124.07150585,1,1,1,0.48745587999999884
2026-05-18,arima,118.84706663545808,124.07150585,-1,1,0,5.224439214541917
2026-05-18,random_forest,119.18663635146956,124.07150585,-1,1,0,4.884869498530435
2026-05-18,lstm_univariate,119.2428392825832,124.07150585,1,1,1,4.828666567416789
2026-05-18,lstm_multivariate,118.58360125265784,124.07150585,-1,1,0,5.487904597342151
2026-05-19,random_walk,124.07150585,118.6275826,-1,-1,1,5.443923249999997
2026-05-19,moving_average,122.70902670999999,118.6275826,-1,-1,1,4.0814441099999925
2026-05-19,arima,124.07423991791207,118.6275826,1,-1,0,5.44665731791207
2026-05-19,random_forest,124.21381741697304,118.6275826,-1,-1,1,5.586234816973047
2026-05-19,lstm_univariate,124.14864067395433,118.6275826,1,-1,0,5.521058073954336
2026-05-19,lstm_multivariate,123.4616513336139,118.6275826,-1,-1,1,4.834068733613904
2026-05-20,random_walk,118.6275826,112.3745625,-1,-1,1,6.2530201000000005
2026-05-20,moving_average,120.62135706,112.3745625,1,-1,0,8.246794559999998
2026-05-20,arima,118.69724943848261,112.3745625,1,-1,0,6.322686938482619
2026-05-20,random_forest,118.65202535141897,112.3745625,-1,-1,1,6.277462851418974
2026-05-20,lstm_univariate,118.69951967836843,112.3745625,1,-1,0,6.324957178368436
2026-05-20,lstm_multivariate,118.08131442337886,112.3745625,-1,-1,1,5.70675192337886
2026-05-21,random_walk,112.3745625,115.66089415,-1,1,0,3.286331650000008
2026-05-21,moving_average,118.82536182999999,115.66089415,1,1,1,3.164467679999987
2026-05-21,arima,112.71935889281946,115.66089415,1,1,1,2.941535257180547
2026-05-21,random_forest,112.28845078861379,115.66089415,-1,1,0,3.3724433613862175
2026-05-21,lstm_univariate,112.45040150123687,115.66089415,1,1,1,3.210492648763136
2026-05-21,lstm_multivariate,111.7910372494873,115.66089415,-1,1,0,3.8698569005127013
2026-05-22,random_walk,115.66089415,115.66089415,-1,1,0,0.0
2026-05-22,moving_average,117.98030512,115.66089415,1,1,1,2.3194109699999927
2026-05-22,arima,115.6636706417266,115.66089415,1,1,1,0.002776491726592667
2026-05-22,random_forest,115.61442770781491,115.66089415,-1,1,0,0.04646644218509266
2026-05-22,lstm_univariate,115.74148402164329,115.66089415,1,1,1,0.08058987164328357
2026-05-22,lstm_multivariate,115.16941530562217,115.66089415,-1,1,0,0.49147884437783773
2026-05-25,random_walk,115.66089415,112.80408305,-1,-1,1,2.8568111000000016
2026-05-25,moving_average,117.27908785,112.80408305,1,-1,0,4.475004799999994
2026-05-25,arima,115.66026595674039,112.80408305,-1,-1,1,2.8561829067403863
2026-05-25,random_forest,115.62404902591828,112.80408305,-1,-1,1,2.8199659759182794
2026-05-25,lstm_univariate,115.74324947004848,112.80408305,1,-1,0,2.9391664200484797
2026-05-25,lstm_multivariate,115.2160647138959,112.80408305,-1,-1,1,2.411981663895901
2026-05-26,random_walk,112.80408305,109.18811935,-1,-1,1,3.615963700000009
2026-05-26,moving_average,115.02560329,109.18811935,1,-1,0,5.837483940000013
2026-05-26,arima,112.50829605858016,109.18811935,-1,-1,1,3.3201767085801634
2026-05-26,random_forest,112.80474021390042,109.18811935,-1,-1,1,3.6166208639004225
2026-05-26,lstm_univariate,112.88800428738581,109.18811935,1,-1,0,3.699884937385818
2026-05-26,lstm_multivariate,112.41311297777385,109.18811935,-1,-1,1,3.2249936277738556
2026-05-27,random_walk,109.18811935,108.1592678,-1,-1,1,1.0288515499999988
2026-05-27,moving_average,113.13771064,108.1592678,1,-1,0,4.97844284
2026-05-27,arima,109.39683208214451,108.1592678,1,-1,0,1.2375642821445183
2026-05-27,random_forest,109.17328806558076,108.1592678,-1,-1,1,1.0140202655807684
2026-05-27,lstm_univariate,109.27477760744293,108.1592678,1,-1,0,1.1155098074429333
2026-05-27,lstm_multivariate,108.82474441171111,108.1592678,-1,-1,1,0.6654766117111137
2026-05-28,random_walk,108.1592678,106.8207619,-1,-1,1,1.3385059000000012
2026-05-28,moving_average,112.29465169999999,106.8207619,1,-1,0,5.473889799999995
2026-05-28,arima,107.94019068733384,106.8207619,-1,-1,1,1.1194287873338453
2026-05-28,random_forest,108.57500039635498,106.8207619,-1,-1,1,1.7542384963549864
2026-05-28,lstm_univariate,108.24968461192137,106.8207619,1,-1,0,1.4289227119213734
2026-05-28,lstm_multivariate,107.86744780190828,106.8207619,-1,-1,1,1.0466859019082904
2026-05-29,random_walk,106.8207619,116.7097234,-1,1,0,9.888961500000008
2026-05-29,moving_average,110.52662525000001,116.7097234,1,1,1,6.183098149999992
2026-05-29,arima,107.00250825051015,116.7097234,1,1,1,9.707215149489855
2026-05-29,random_forest,107.03776506913752,116.7097234,-1,1,0,9.67195833086248
2026-05-29,lstm_univariate,106.91431403802093,116.7097234,1,1,1,9.795409361979068
2026-05-29,lstm_multivariate,106.52821303473765,116.7097234,-1,1,0,10.181510365262355
2026-06-01,random_walk,116.7097234,119.87618885,-1,1,0,3.166465450000004
2026-06-01,moving_average,110.73639109999999,119.87618885,-1,1,0,9.139797750000014
2026-06-01,arima,116.70853287519796,119.87618885,-1,1,0,3.167655974802045
2026-06-01,random_forest,116.95588183782505,119.87618885,-1,1,0,2.920307012174959
2026-06-01,lstm_univariate,116.80597379560093,119.87618885,1,1,1,3.070215054399071
